id,timestamp,release_name,release_id,is_prerelease,asset_name,os_name,architecture,java_type,total_downloads
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_aix-ppc64_bin-symbols.tar.gz,,,jdk,0
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_aix-ppc64_bin.tar.gz,,,jdk,9
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_linux-aarch64_bin-symbols.tar.gz,linux,aarch64,jdk,0
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_linux-aarch64_bin.tar.gz,linux,aarch64,jdk,6
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_linux-ppc64le_bin-symbols.tar.gz,linux,ppc64le,jdk,0
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_linux-ppc64le_bin.tar.gz,linux,ppc64le,jdk,7
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_linux-x64-musl_bin-symbols.tar.gz,linux,x64,jdk,0
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_linux-x64-musl_bin.tar.gz,linux,x64,jdk,9
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_linux-x64_bin-symbols.tar.gz,linux,x64,jdk,0
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_linux-x64_bin.tar.gz,linux,x64,jdk,9
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_macos-aarch64_bin-symbols.tar.gz,macos,aarch64,jdk,0
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_macos-aarch64_bin.dmg,macos,aarch64,jdk,8
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_macos-aarch64_bin.tar.gz,macos,aarch64,jdk,8
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_macos-x64_bin-symbols.tar.gz,macos,x64,jdk,0
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_macos-x64_bin.dmg,macos,x64,jdk,5
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_macos-x64_bin.tar.gz,macos,x64,jdk,5
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_windows-x64_bin-symbols.tar.gz,windows,x64,jdk,0
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jdk-24-ea.15_windows-x64_bin.zip,windows,x64,jdk,6
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jre-24-ea.15_aix-ppc64_bin.tar.gz,,,jre,9
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jre-24-ea.15_linux-aarch64_bin.tar.gz,linux,aarch64,jre,6
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jre-24-ea.15_linux-ppc64le_bin.tar.gz,linux,ppc64le,jre,7
2d99f287-f724-47b6-924d-ccd9fa281caa,2024-09-18 01:29:53,sapmachine-24+15,175344864,True,sapmachine-jre-24-ea.15_linux-x64-musl_bin.tar.gz,linux,x64,jre,9
